ktag,PROG NAME,Line Nbr,,as of 1.0-3
1,config.c,86,,
2,strings.c,261,,
2,strings.c,179,,
3,op_array.c,1204,,
3,op_array.c,1020,,
5,dh_del.c,84,,
6,op_dio1.c,597,,
7,op_tio.c,2438,,
8,op_dio3.c,1473,,
9,dh_open.c,203,,
11,dh_del.c,182,,
12,dh_split.c,131,,
13,dh_split.c,135,,
14,dh_split.c,351,,
15,dh_split.c,353,,
16,dh_write.c,102,,
17,dh_write.c,256,,
18,kernel.c,716,,
19,kernel.c,751,,
20,kernel.c,801,,
21,txn.c,515,,
22,object.c,252,,
23,op_array.c,1042,,
24,op_array.c,1243,,
25,op_array.c,1283,,
26,op_btree.c,107,,
27,op_btree.c,315,,
28,op_btree.c,659,,
29,op_btree.c,1071,,
30,op_dio1.c,579,,
31,op_dio1.c,753,,
32,op_seqio.c,594,,
33,op_seqio.c,686,,
34,op_seqio.c,693,,
35,op_seqio.c,705,,
36,strings.c,304,,
37,op_tio.c,3354,,
39,strings.c,92,,
40,strings.c,95,,
41,to_file.c,211,,
44,dh_write.c,527,,
45,dh_write.c,647,,
47,dh_ak.c,1734,,
48,dh_ak.c,3872,,
49,dh_ak.c,3946,,
52,dh_ak.c,960,,
53,dh_open.c,345,,
58,op_dio1.c,783,,
60,dh_read.c,174,,
61,op_sort.c,220,,
62,op_sort.c,882,,
63,op_sort.c,856,,
64,op_sort.c,809,,
65,op_sort.c,682,,
66,op_sort.c,1079,,
66,op_sort.c,1041,,
67,op_sort.c,1290,,
68,op_seqio.c,673,,
69,dh_open.c,248,,
70,op_tio.c,3072,,
71,reccache.c,58,,
73,dh_ak.c,1590,,
74,dh_file.c,405,,
76,op_misc.c,973,,
77,op_misc.c,960,,
78,op_misc.c,1011,,
78,op_misc.c,1001,,
78,op_misc.c,991,,
81,txn.c,83,,
82,messages.c,188,,
82,messages.c,128,,
83,messages.c,88,,
84,messages.c,99,,
85,op_array.c,1359,,
86,op_ccall.c,552,,
87,op_ccall.c,565,,
89,op_oconv.c,3250,,
91,object.c,547,,
92,sdtermlb.c,202,,
93,sdtermlb.c,215,,
94,sdtermlb.c,229,,
95,sdtermlb.c,249,,
96,sdtermlb.c,265,,
97,op_skt.c,433,,
98,op_skt.c,540,,
99,op_skt.c,1001,,
100,op_skt.c,202,,
103,dh_file.c,476,,
106,dh_open.c,231,,
107,dh_misc.c,150,,
108,strings.c,118,,
109,sd.c,458,,
111,op_sh.c,115,,
112,objprog.c,344,,
113,objprog.c,471,,
114,op_exec.c,322,,
115,op_sort.c,231,,
116,op_sort.c,254,,
122,op_lock.c,1262,,
123,op_lock.c,1604,,
